ts,symbol,timeframe,rrMin,atrPctRiskMin,atrPctRiskMax,driftMaxAdj,driftHard,spreadMaxRiskRatio,adxHardRejectBelow,n,stopRate,tpRate,nearRate,noFollowRate,avgR,proposeNoneRate,proposeNoneN,proposeNoneTop,proposeNoneSilenceMs
2025-09-21T16:48:49.165Z,SOL_USDT,5m,1.7,0.26,0.68,0.29,0.49,0.12,15,0,0,0,0,0,0,0.3333333333333333,3,price=248.4500;atr=0.6230;adx=18.35,244192304
2025-09-21T16:51:20.403Z,SOL_USDT,5m,1.7,0.26,0.7000000000000001,0.29,0.49,0.12,15,0,0,0,0,0,0,0.5,4,price=248.4500;atr=0.6230;adx=18.35,151233
2025-09-21T19:07:59.385Z,SOL_USDT,1m,1.35,0.24,0.87,0.36,0.6,0.13,10,0,0,0,0,0,0,1,1,price=248.3800;atr=0.2100;adx=11.44,252560463
2025-09-21T19:08:06.911Z,SOL_USDT,3m,1.45,0.24,0.8,0.35,0.6,0.135,12,0,0,0,0,0,0,1,1,price=248.4500;atr=0.4443;adx=13.28,252559099
2025-09-21T19:08:14.433Z,SOL_USDT,5m,1.55,0.25,0.7300000000000001,0.34,0.58,0.13999999999999999,14,0,0,0,0,0,0,0.6,5,price=248.4500;atr=0.6230;adx=18.35,8214026
2025-09-21T19:08:21.970Z,SOL_USDT,15m,1.65,0.24,0.64,0.32,0.55,0.15,15,0,0,0,0,0,0,1,1,price=248.4400;atr=1.1935;adx=18.63,252556164
2025-09-21T19:08:29.481Z,SOL_USDT,30m,1.7,0.26,0.62,0.29,0.49,0.14500000000000002,16,0,0,0,0,0,0,1,1,price=248.4000;atr=1.6560;adx=37.26,252554718
2025-09-21T19:08:36.991Z,SOL_USDT,1h,1.72,0.25,0.6100000000000001,0.31,0.46,0.16999999999999998,15,0,0,0,0,0,0,1,1,price=248.4100;atr=2.3835;adx=33.62,252545431
2025-09-21T19:08:46.382Z,SOL_USDT,4h,1.8,0.26,0.58,0.3,0.42,0.19,16,0,0,0,0,0,0,1,1,price=248.3900;atr=4.5367;adx=24.69,252537301
2025-09-21T19:26:24.415Z,SOL_USDT,1m,1.25,0.24,0.8799999999999999,0.36,0.6,0.14,9,0,0,0,0,0,0,1,2,price=248.3800;atr=0.2100;adx=11.44,1105027
2025-09-21T19:26:31.869Z,SOL_USDT,3m,1.35,0.24,0.81,0.35,0.6,0.14500000000000002,10,0,0,0,0,0,0,1,2,price=248.4500;atr=0.4443;adx=13.28,1104955
